"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"203033";"203033";"Hydraulic drive technology";""
4;"203034";"203034";"Continuum mechanics";""
4;"203035";"203035";"Thermal processing technology";""
4;"203036";"203036";"Weapons and munitions technology";""
4;"203037";"203037";"Computational engineering";""
4;"203038";"203038";"Ventilation technology";""
2;"204";"204";"Chemical Process Engineering";""
3;"2040";"2040";"Chemical Process Engineering";""
4;"204001";"204001";"Inorganic chemical technology";""
4;"204002";"204002";"Chemical reaction engineering";""
4;"204003";"204003";"Chemical process engineering";""
4;"204004";"204004";"Organic chemical technology";""
4;"204005";"204005";"Refining technology";""
4;"204006";"204006";"Mechanical process engineering";""
4;"204007";"204007";"Thermal process engineering";""
4;"204008";"204008";"Membrane technology";""
2;"205";"205";"Materials Engineering";""
3;"2050";"2050";"Materials Engineering";""
4;"205001";"205001";"Building materials testing";""
4;"205002";"205002";"Coating technology";""
4;"205003";"205003";"Refractories";""
4;"205004";"205004";"Functional materials";""
4;"205005";"205005";"Ceramics engineering";""
4;"205006";"205006";"Wood research";""
4;"205007";"205007";"Wood preservatives";""
4;"205008";"205008";"Wood technology";""
4;"205009";"205009";"Ceramic materials";""
4;"205010";"205010";"Anticorrosives";""
4;"205011";"205011";"Polymer engineering";""
4;"205012";"205012";"Polymer processing";""
4;"205013";"205013";"Failure analysis";""
4;"205014";"205014";"Textile technology";""
4;"205015";"205015";"Composites";""
4;"205016";"205016";"Materials testing";""
4;"205017";"205017";"Materials engineering";""
4;"205018";"205018";"Pulp and paper technology";""
4;"205019";"205019";"Material sciences";""
2;"206";"206";"Medical Engineering";""
3;"2060";"2060";"Medical Engineering";""
4;"206001";"206001";"Biomedical engineering";""
4;"206002";"206002";"Electro-medical engineering";""
4;"206003";"206003";"Medical physics";""
4;"206004";"206004";"Medical engineering";""
4;"206005";"206005";"Prosthetics";""
4;"206006";"206006";"Rehabilitation technology";""
2;"207";"207";"Environmental Engineering, Applied Geosciences";""
3;"2071";"2071";"Environmental Engineering";""
4;"207101";"207101";"Waste engineering";""
4;"207102";"207102";"Exhaust air purification";""
4;"207103";"207103";"Wastewater treatment";""
4;"207104";"207104";"Remediation of contaminated sites";""
4;"207105";"207105";"Landfill technology";""
4;"207106";"207106";"Renewable energy";""
4;"207107";"207107";"Air pollution control";""
4;"207108";"207108";"Recycling";""
4;"207109";"207109";"Pollutant emission";""
4;"207110";"207110";"Technical environmental protection";""
4;"207111";"207111";"Environmental engineering";""
4;"207112";"207112";"Water treatment";""
4;"207113";"207113";"Water infrastructure";""
4;"207114";"207114";"Water management";""
3;"2072";"2072";"Engineering Geology, Geotechnics";""
